customerid,name,country,state,gender,dob,interests,pincode
CUST-0001,Bikash Chowdhury,Bangladesh,Chittagong,Female,1966-06-05,Comedy,1434
CUST-0002,Pooja Ahmed,India,Tamil Nadu,Male,1980-04-06,"Drama, Thriller",2519
CUST-0003,David Chowdhury,Bangladesh,Dhaka,Unknown,1978-02-25,"Sports, Fantasy, Romance",1750
CUST-0004,Prakash Alam,India,Delhi,Female,1980-12-08,Kids,2169
CUST-0005,Rohan Gupta,Bangladesh,Rajshahi,Female,1979-07-20,Thriller,7572
CUST-0006,Tasnia Hossain,Bangladesh,Khulna,Male,1976-11-18,Thriller,8019
CUST-0007,Divya Williams,Bangladesh,Dhaka,Male,1983-12-09,"Comedy, Sci-Fi, Fantasy",5119
CUST-0008,Pooja Rai,Nepal,Lumbini,Male,1985-05-09,Reality TV,9201
CUST-0009,Ravi Akter,Bangladesh,Khulna,Female,1988-10-16,Sports,123
CUST-0010,Priya Alam,Bangladesh,Dhaka,Unknown,1986-04-28,"Drama, Horror, Anime",4470
CUST-0011,Suresh Shrestha,India,West Bengal,Female,1967-11-16,"Action, Sports",1117
CUST-0012,Rakib Patel,Unknown,Unknown,Male,1989-03-10,Reality TV,8744
CUST-0013,Sumaiya Thapa,Bangladesh,Dhaka,Male,1994-04-25,"Comedy, Action, Sci-Fi",2790
CUST-0014,Sumaiya Ahmed,Bangladesh,Chittagong,Female,2003-08-22,"Comedy, Action, Kids",2528
CUST-0015,Ravi Rai,Bangladesh,Chittagong,Male,1976-11-24,"Horror, Sci-Fi",8973
CUST-0016,Rima Ahmed,Bangladesh,Sylhet,Male,2003-04-02,"Drama, Action, Anime",2113
CUST-0017,Gita Rai,Bangladesh,Sylhet,Male,1991-03-08,"Anime, Romance, Horror",4910
CUST-0018,Arif Williams,Bangladesh,Dhaka,Unknown,1974-07-25,"Horror, Drama, Romance",7054
CUST-0019,Shakil Akter,Bangladesh,Sylhet,Female,2004-05-23,Horror,3546
CUST-0020,Tasnia Begum,India,Karnataka,Female,1984-01-01,"Action, Musical",5291
CUST-0021,Sabbir Singh,Bangladesh,Dhaka,Female,2002-06-10,"Sports, Anime",6050
CUST-0022,Sarah Basnet,Nepal,Kathmandu,Male,1983-03-26,"Reality TV, Drama, Thriller",3900
CUST-0023,James Islam,Bangladesh,Rajshahi,Female,1966-09-27,"Thriller, Musical",6000
CUST-0024,Rifat Alam,Bangladesh,Khulna,Male,1995-06-26,"Romance, Action, Comedy",5349
CUST-0025,Karim Chowdhury,India,Karnataka,Female,1973-07-12,"Action, Reality TV",9821
CUST-0026,Gita Singh,Nepal,Unknown,Female,1994-10-04,Reality TV,7691
CUST-0027,John Williams,India,West Bengal,Male,1978-08-19,"Thriller, Sci-Fi",6279
CUST-0028,Sophia Jones,Bangladesh,Chittagong,Female,2001-09-18,Kids,3414
CUST-0029,Fatima Rahman,Bangladesh,Dhaka,Female,1982-03-24,"Sci-Fi, Thriller",2746
CUST-0030,Meena Brown,Bangladesh,Sylhet,Male,1994-12-12,"Anime, Sports, Romance",9270
CUST-0031,Olivia Gurung,Nepal,Lumbini,Female,1999-11-20,"Documentary, Kids, Thriller",123
CUST-0032,Sumaiya Uddin,Bangladesh,Chittagong,Male,1983-04-15,"Anime, Documentary",7883
CUST-0033,David Basnet,India,Tamil Nadu,Unknown,2003-04-14,"Anime, Reality TV",4613
CUST-0034,Anjali Alam,Unknown,Khulna,Female,1988-12-17,Musical,1444
CUST-0035,Sadia Gupta,Bangladesh,Khulna,Male,1982-01-03,"Crime, Fantasy",8705
CUST-0036,Fatima Singh,Bangladesh,Dhaka,Unknown,1992-11-14,Thriller,4571
CUST-0037,Sophia Patel,Bangladesh,Sylhet,Male,1966-02-25,"Sports, Kids",4249
CUST-0038,Rakib Sharma,India,Karnataka,Female,1984-03-20,"Romance, Comedy, Anime",123
CUST-0039,Anjali Chowdhury,Bangladesh,Rajshahi,Female,2001-04-03,"Crime, Documentary, Fantasy",5397
CUST-0040,John Rai,Bangladesh,Rajshahi,Female,1966-04-16,"Fantasy, Romance",5232
CUST-0041,Emily Uddin,Nepal,Lumbini,Male,1986-12-01,"Crime, Thriller, Reality TV",8342
CUST-0042,Fatima Hossain,Bangladesh,Khulna,Female,1989-09-09,"Romance, Reality TV",4777
CUST-0043,Mim Singh,Bangladesh,Chittagong,Female,1999-02-07,"Sports, Horror, Comedy",6912
CUST-0044,Nila Begum,Bangladesh,Dhaka,Female,1998-10-08,Unknown,8843
CUST-0045,Robert Smith,Bangladesh,Rajshahi,Male,1995-10-17,Drama,5978
CUST-0046,Sadia Alam,Bangladesh,Sylhet,Male,1991-05-27,"Horror, Sports",2625
CUST-0047,Ravi Ahmed,India,Maharashtra,Male,1995-12-04,"Documentary, Horror, Action",8438
CUST-0048,Rakib Kumar,Bangladesh,Sylhet,Female,1976-12-01,Unknown,5728
CUST-0049,Robert Chowdhury,Bangladesh,Khulna,Female,1992-01-31,"Action, Comedy",1339
CUST-0050,Ravi Kumar,India,Maharashtra,Male,1991-04-05,"Kids, Fantasy",6700
CUST-0051,James Smith,Bangladesh,Khulna,Male,1989-09-04,Documentary,2899
CUST-0052,Meena Williams,Nepal,Lumbini,Male,1987-05-13,"Documentary, Crime, Action",5719
CUST-0053,Robert Basnet,Unknown,Tamil Nadu,Male,1969-03-08,Fantasy,2924
CUST-0054,Sita Gurung,Bangladesh,Khulna,Unknown,1971-06-28,"Thriller, Sports",2143
CUST-0055,Tasnia Shrestha,India,Tamil Nadu,Male,1991-01-06,"Documentary, Fantasy, Drama",6446
CUST-0056,Pooja Shrestha,Bangladesh,Chittagong,Male,1998-05-29,"Reality TV, Crime",3492
CUST-0057,Anjali Rahman,Bangladesh,Dhaka,Female,1983-05-24,"Drama, Comedy, Documentary",7512
CUST-0058,Sita Hossain,Nepal,Gandaki,Female,1966-08-12,"Comedy, Thriller, Kids",4727
CUST-0059,Sunita Hossain,Bangladesh,Dhaka,Male,2000-09-18,Horror,5000
CUST-0060,Neha Brown,India,Delhi,Male,1985-09-08,"Horror, Documentary, Musical",8622
